model_size(B),tp,num_clients,mode,success_rate,qps,avg_inlen,avg_outlen,max_inlen,max_outlen,o_tps,io_tps,min_ttft,max_ttft,mean_ttft,median_ttft,std_ttft,p90_ttft,p99_ttft,min_tpot,max_tpot,mean_tpot,median_tpot,std_tpot,p90_tpot,p99_tpot,min_e2e,max_e2e,mean_e2e,median_e2e,std_e2e,p90_e2e,p99_e2e,min_itl,max_itl,mean_itl,median_itl,std_itl,p90_itl,p99_itl
7,1,1,fp16,1.000,0.160,148.551,327.020,1020,878,52.364,76.151,26.662,89.738,33.114,27.702,13.198,46.522,82.985,18.685,20.936,19.070,19.049,0.382,19.452,20.289,305.881,16781.429,6244.966,5389.970,4340.732,14026.421,15857.809,14.866,41.471,19.054,18.816,1.550,19.135,27.599
7,1,5,fp16,1.000,0.654,139.208,359.144,1020,892,234.802,325.813,37.867,319.945,150.192,158.623,64.753,239.322,264.349,19.609,27.138,20.620,20.570,0.572,20.850,21.688,316.973,18723.515,7514.504,7016.332,4866.888,15797.789,18349.100,15.722,111.206,20.562,20.370,2.533,20.560,37.028
7,1,10,fp16,1.000,1.236,140.379,369.624,1020,892,456.855,630.364,36.964,338.715,156.332,165.188,66.063,242.011,303.638,19.794,25.762,20.907,20.899,0.381,21.170,21.792,318.369,19113.297,7861.062,7240.664,5036.149,16097.873,18794.473,16.716,100.255,20.901,20.436,3.733,20.732,38.133
7,1,20,fp16,1.000,2.380,141.748,361.704,1020,892,860.829,1198.179,34.685,353.474,162.983,176.910,69.068,251.335,311.108,20.270,25.513,22.004,21.903,0.634,22.922,23.525,336.684,20283.414,8101.317,7537.147,5168.149,16770.032,19540.372,0.007,114.263,22.008,20.833,5.649,22.509,45.211
7,1,30,fp16,1.000,3.482,144.620,351.613,1020,947,1224.430,1728.044,32.691,392.613,171.744,180.949,73.467,266.372,343.330,20.592,28.241,23.153,22.889,0.956,24.693,25.798,166.604,22262.193,8279.538,7557.981,5421.404,17431.364,20527.274,0.007,140.215,23.125,21.431,7.123,23.636,57.047
7,1,40,fp16,1.000,4.480,145.020,343.939,1020,947,1540.815,2190.489,34.030,415.160,179.036,185.669,78.499,283.443,359.635,21.365,28.827,24.419,24.421,0.730,25.187,26.561,170.246,23481.950,8552.797,7720.571,5670.846,18479.185,22031.696,0.007,151.635,24.418,22.659,8.294,24.046,63.721
7,1,50,fp16,1.000,5.162,141.305,340.350,1020,947,1757.032,2486.507,33.076,464.636,192.791,201.703,86.407,310.067,386.760,21.400,31.948,26.899,27.014,0.975,27.780,29.039,186.900,26112.685,9310.495,8538.821,6151.866,20100.601,24215.652,0.007,186.049,26.868,24.838,9.338,26.725,71.555
7,1,100,fp16,1.000,7.659,133.824,322.376,1020,947,2469.122,3494.098,36.431,615.360,270.051,270.882,124.963,449.071,529.603,22.810,48.361,37.729,38.233,2.350,39.218,40.764,248.015,37054.465,12403.744,10975.665,8114.978,23328.885,34376.392,0.007,180.604,37.755,34.689,13.925,40.051,106.002
7,1,200,fp16,1.000,8.905,126.337,323.266,1020,947,2878.689,4003.719,44.876,920.787,441.091,438.849,207.208,736.455,841.131,23.236,75.499,62.646,65.025,7.259,66.172,67.899,247.017,62978.448,20612.588,18030.464,14027.687,39772.528,60360.319,0.007,270.285,62.593,59.025,23.787,74.972,166.982
7,1,300,fp16,1.000,9.668,123.360,323.296,1020,982,3125.601,4318.241,47.925,4044.438,690.029,632.424,460.017,1094.639,2658.201,23.688,107.803,84.224,89.102,12.697,90.614,93.628,172.428,90365.681,27783.540,24393.986,19752.150,54620.298,82682.946,0.007,336.935,84.064,80.526,32.191,92.758,222.841
13,1,1,fp16,1.000,0.138,167.381,313.500,1020,878,43.151,66.190,31.900,420.645,53.260,33.764,61.557,71.132,299.538,22.565,27.055,23.138,23.048,0.648,23.330,25.674,340.802,20859.956,7265.028,6237.297,5137.587,13457.824,19893.397,19.951,51.296,23.078,23.021,0.491,23.472,24.226
13,1,5,fp16,1.000,0.515,144.585,363.912,1020,892,187.417,261.879,48.524,428.604,201.604,217.181,82.165,300.693,417.674,24.218,36.482,25.757,25.466,1.203,26.931,28.920,570.627,24119.936,9553.661,8657.621,6195.171,20296.757,23895.149,19.694,177.608,25.769,25.248,4.130,26.835,33.773
13,1,10,fp16,1.000,0.964,145.201,362.161,1020,892,348.964,488.873,48.836,505.497,215.562,226.153,89.283,320.387,451.736,25.045,35.376,27.513,27.428,1.037,28.696,30.181,561.894,25364.702,10171.054,9267.742,6544.643,21573.577,24999.972,22.661,237.094,27.565,26.840,6.372,28.113,50.563
13,1,20,fp16,1.000,1.767,144.482,358.418,1020,878,633.410,888.744,62.976,516.863,225.967,234.460,97.081,343.563,473.282,25.571,38.660,29.833,30.084,1.387,31.316,33.007,555.423,27783.373,10899.771,9642.388,7121.941,23266.761,27188.368,0.007,251.193,29.864,28.661,9.667,30.098,63.181
13,1,30,fp16,1.000,2.395,148.449,351.839,1020,878,842.769,1198.354,49.186,615.628,250.921,256.111,113.685,396.428,537.381,27.432,42.072,33.524,33.521,1.435,35.016,37.471,558.199,31046.109,12008.935,10428.640,7988.020,25846.549,30194.580,0.008,295.314,33.514,31.520,12.433,33.256,84.578
13,1,40,fp16,1.000,2.960,146.072,343.787,1020,878,1017.479,1449.799,50.311,621.586,274.833,282.522,122.333,431.843,566.836,28.699,47.127,36.907,37.040,1.709,38.359,40.977,257.556,33807.960,12921.300,11384.569,8628.569,28172.297,33321.790,0.008,295.597,36.893,34.296,14.342,36.073,101.334
13,1,50,fp16,1.000,3.406,145.453,339.449,1020,947,1156.072,1651.445,50.792,700.922,297.442,307.286,134.622,473.752,618.308,30.068,50.728,40.317,40.598,1.973,41.993,44.848,278.452,37448.023,13939.726,12407.189,9334.531,30162.559,36394.409,0.010,306.469,40.308,37.232,16.067,39.331,132.486
13,1,100,fp16,1.000,5.064,134.835,324.892,1020,947,1645.122,2327.873,56.703,946.874,409.959,410.692,185.447,662.468,825.037,30.593,71.212,54.965,55.830,3.897,57.775,60.247,372.948,54615.767,18225.765,16255.460,11871.120,34249.716,50388.626,0.007,566.535,55.005,50.126,24.611,54.465,172.023
13,1,200,fp16,1.000,5.504,127.757,323.587,1020,947,1781.038,2484.217,69.259,16617.979,6814.382,7280.385,3683.583,11039.261,15719.421,30.572,110.013,79.569,81.763,8.380,84.874,90.716,389.102,89562.032,32404.079,29690.652,17893.730,57270.371,83024.519,5.003,665.761,79.327,74.353,40.769,78.002,292.206
13,1,300,fp16,1.000,5.618,123.939,321.817,1020,982,1808.093,2504.434,94.606,35171.217,21813.484,24298.602,9656.253,31128.983,33742.738,24.778,116.979,78.152,79.865,7.876,84.121,89.924,311.206,110501.636,46696.164,44678.327,20425.571,74569.792,97916.048,0.007,674.997,77.560,73.422,41.209,77.678,289.103
