model_size(B),tp,num_clients,mode,success_rate,qps,avg_inlen,avg_outlen,max_inlen,max_outlen,o_tps,io_tps,min_ttft,max_ttft,mean_ttft,median_ttft,std_ttft,p90_ttft,p99_ttft,min_tpot,max_tpot,mean_tpot,median_tpot,std_tpot,p90_tpot,p99_tpot,min_e2e,max_e2e,mean_e2e,median_e2e,std_e2e,p90_e2e,p99_e2e,min_itl,max_itl,mean_itl,median_itl,std_itl,p90_itl,p99_itl
7,1,1,fp16,1.000,0.318,141.000,317.082,1020,947,100.988,145.895,10.697,79.456,17.528,11.266,13.259,38.076,66.848,9.517,10.606,9.760,9.741,0.139,9.900,10.072,59.003,9314.111,3112.525,2789.716,2104.902,5839.685,8897.732,9.447,29.867,9.792,9.789,0.188,9.934,10.093
7,1,5,fp16,1.000,1.275,141.848,346.923,1020,947,442.371,623.246,12.371,81.668,28.861,22.960,13.759,48.212,79.480,10.254,15.435,11.108,10.982,0.500,11.869,12.230,72.891,10803.419,3892.030,3536.391,2600.726,8280.580,10542.117,7.300,71.826,11.168,10.993,1.632,11.855,12.417
7,1,10,fp16,1.000,2.380,135.359,347.978,1020,947,828.221,1150.387,14.950,86.810,30.129,24.271,14.112,51.026,81.106,10.697,16.765,11.811,11.731,0.551,12.592,13.043,76.024,11350.369,4146.532,3812.281,2792.693,8787.842,10945.183,7.391,75.025,11.864,11.631,2.460,12.520,13.492
7,1,20,fp16,1.000,4.544,126.927,341.843,1020,947,1553.407,2130.188,12.796,98.893,31.676,25.984,14.116,52.765,88.349,10.834,17.353,12.611,12.522,0.587,13.451,14.040,81.336,12052.875,4343.751,4006.495,2931.696,9411.267,11676.392,9.181,78.944,12.651,12.270,3.536,13.254,22.350
7,1,30,fp16,1.000,6.115,131.094,345.179,1020,947,2110.648,2912.243,12.230,107.870,34.466,27.826,14.939,56.742,91.605,10.800,19.759,13.737,13.658,0.622,14.516,15.514,88.243,12956.458,4770.290,4384.960,3175.555,10244.609,12568.974,2.809,82.534,13.760,13.186,4.597,14.338,40.903
7,1,40,fp16,1.000,7.653,133.763,341.916,1020,947,2616.523,3640.151,13.219,139.615,37.386,29.946,16.565,61.155,97.078,10.807,21.153,14.865,14.797,0.722,15.639,16.890,93.676,14461.465,5113.747,4688.025,3405.637,11039.909,13622.355,7.160,127.858,14.890,14.053,5.743,15.647,45.791
7,1,50,fp16,1.000,8.788,135.740,341.086,1020,947,2997.322,4190.149,11.866,149.939,40.489,32.180,17.758,65.941,100.876,10.812,25.980,16.057,16.045,0.888,16.845,18.414,100.136,15592.961,5507.575,5036.714,3671.072,11870.471,14664.581,2.505,137.593,16.076,14.969,6.765,16.995,52.292
7,1,100,fp16,1.000,12.555,136.822,320.890,1020,947,4028.761,5746.556,12.736,182.067,57.429,47.745,23.328,91.294,130.277,10.800,34.473,23.675,23.799,1.741,25.091,27.852,99.808,23712.899,7627.364,6738.003,5153.369,15176.507,22295.205,8.097,167.358,23.664,20.789,11.767,28.993,86.377
7,1,200,fp16,1.000,13.864,127.233,322.568,1020,947,4472.096,6236.060,13.024,257.549,92.426,78.652,33.497,144.512,195.725,10.795,62.147,41.402,42.516,5.017,44.351,47.934,100.831,41673.810,13393.010,11671.045,9322.352,26201.443,39560.762,7.645,204.837,41.362,36.631,19.073,60.451,123.916
7,1,300,fp16,1.000,14.725,123.274,322.540,1020,982,4749.342,6564.534,12.201,5579.427,571.437,138.319,881.002,1915.654,3692.452,10.803,101.501,55.716,58.298,8.434,60.216,66.453,97.760,61012.572,18429.421,16108.664,13143.465,36530.823,54944.660,7.310,588.851,55.539,48.493,33.548,79.383,168.082
13,1,1,fp16,1.000,0.169,156.788,327.577,1020,878,55.332,81.815,18.876,140.137,32.519,19.679,26.845,61.066,127.641,17.576,18.491,17.882,17.844,0.189,18.082,18.441,267.363,16245.807,5889.513,5097.832,4118.172,12878.762,15369.975,17.491,53.459,17.934,17.891,0.440,18.206,18.502
13,1,5,fp16,1.000,0.725,137.662,351.432,1020,892,254.918,354.774,23.578,145.449,50.323,39.778,24.275,90.469,138.141,18.263,28.440,19.348,19.111,0.895,20.306,21.113,279.656,18275.353,6836.645,6222.308,4680.326,14814.532,17911.530,15.299,122.977,19.366,19.084,2.795,20.330,20.933
13,1,10,fp16,1.000,1.299,136.493,368.335,1020,892,478.566,655.907,22.142,165.479,52.734,42.195,26.318,83.341,154.924,18.774,28.448,20.346,20.305,0.825,21.331,22.195,289.339,18948.736,7532.457,6780.506,4929.480,15869.553,18502.832,15.515,140.218,20.362,19.978,4.353,21.119,22.666
13,1,20,fp16,1.000,2.391,141.957,360.917,1020,892,862.962,1202.385,22.584,243.074,58.024,45.398,29.437,96.994,164.071,19.661,28.423,22.589,22.573,0.957,23.683,25.234,318.540,21044.872,8197.753,7532.825,5364.984,17486.110,20421.784,18.201,178.972,22.616,22.009,6.904,23.079,38.820
13,1,30,fp16,1.000,3.413,145.344,349.913,1020,892,1194.090,1690.081,22.679,254.193,62.895,48.471,31.790,105.035,172.694,19.760,31.081,24.129,24.072,1.068,25.347,27.544,156.529,22464.839,8481.206,7665.789,5654.504,18377.650,21546.128,15.648,184.566,24.127,22.989,9.095,24.274,69.061
13,1,40,fp16,1.000,4.243,145.291,343.083,1020,947,1455.564,2071.973,22.882,265.879,67.360,52.011,33.488,110.772,180.040,19.804,33.750,25.997,25.937,1.195,27.285,29.539,167.990,24894.909,8955.563,8150.840,6033.402,19607.770,23278.084,15.912,190.183,25.983,24.331,10.991,26.221,84.212
13,1,50,fp16,1.000,5.027,141.283,340.441,1020,947,1711.515,2421.793,21.151,273.933,71.335,55.604,33.627,115.193,187.177,20.018,36.215,27.805,27.743,1.379,29.290,32.092,177.739,26257.402,9512.853,8695.008,6380.251,20715.513,25212.063,16.122,231.398,27.815,25.686,12.345,28.611,90.586
13,1,100,fp16,1.000,7.304,134.441,323.289,1020,947,2361.437,3343.453,22.282,314.339,97.519,80.650,40.909,161.904,224.754,19.808,61.320,39.884,40.156,2.597,42.009,45.218,158.836,39224.047,12960.210,11537.970,8575.331,24754.989,36503.041,17.159,219.144,39.910,34.784,19.760,48.101,142.711
13,1,200,fp16,1.000,7.798,127.029,324.200,1020,947,2527.963,3518.478,20.939,13558.416,5110.065,5247.530,2494.792,8083.361,10611.796,19.934,95.260,56.577,57.966,5.460,59.844,64.546,166.408,67697.528,23407.299,21381.862,13013.960,40825.752,60577.275,18.161,981.201,56.613,50.993,45.410,57.139,249.781
13,1,300,fp16,1.000,7.763,122.665,322.327,1020,982,2502.162,3454.382,21.760,25561.909,16005.016,17711.066,6117.673,21467.422,23735.584,19.776,81.883,56.119,57.392,5.325,59.167,64.397,167.780,79853.317,34054.803,32565.870,14536.877,53528.542,72448.087,16.388,1042.751,56.173,50.863,43.253,56.906,251.293
13,2,1,fp16,1.000,0.267,134.815,325.852,1020,947,86.997,122.991,12.169,1219.008,34.049,13.622,133.017,38.616,297.792,10.811,11.990,11.089,11.089,0.142,11.199,11.419,67.743,10540.430,3642.713,3265.401,2407.460,6693.385,10071.196,10.676,33.322,11.109,11.133,0.272,11.246,11.330
13,2,5,fp16,1.000,1.177,134.000,341.176,1020,947,401.673,559.434,16.750,94.637,31.590,25.045,13.998,53.429,79.159,11.460,16.951,12.277,12.278,0.372,12.562,12.979,82.417,11891.204,4215.751,3874.280,2865.993,9284.415,11126.233,8.552,80.987,12.300,12.218,1.665,12.611,12.921
13,2,10,fp16,1.000,2.173,125.226,340.674,1020,947,740.417,1012.582,17.866,97.788,33.775,28.197,13.815,52.562,83.253,12.022,18.476,13.249,13.106,0.631,14.152,14.735,86.337,12825.344,4551.302,4179.519,3141.676,9816.652,12335.207,8.990,84.190,13.300,13.006,2.546,14.147,16.349
13,2,20,fp16,1.000,3.880,130.167,341.130,1020,947,1323.424,1828.412,14.464,128.748,37.272,31.138,15.063,56.988,88.766,12.569,23.244,14.597,14.474,0.760,15.635,16.268,95.900,13929.989,5016.173,4564.919,3421.012,10964.813,13415.270,9.041,87.813,14.638,14.123,3.935,15.410,28.031
13,2,30,fp16,1.000,5.251,135.382,347.990,1020,947,1827.203,2538.056,14.181,139.081,40.460,33.598,16.100,60.228,103.432,12.591,25.399,15.883,15.824,0.777,16.824,17.786,104.856,14940.410,5558.783,5022.775,3705.304,11955.403,14500.652,8.834,133.568,15.903,15.220,5.090,16.492,43.240
13,2,40,fp16,1.000,6.432,137.986,347.205,1020,947,2233.248,3120.781,13.501,174.882,44.044,36.546,18.012,67.595,108.350,12.518,28.334,17.319,17.298,0.821,18.091,19.393,112.063,16703.396,6042.959,5500.290,3992.157,12958.901,15758.578,7.748,127.866,17.328,16.349,6.154,18.061,48.418
13,2,50,fp16,1.000,7.637,139.760,342.499,1020,947,2615.672,3683.024,14.689,175.731,46.922,38.696,18.470,70.478,111.104,12.561,30.614,18.462,18.469,0.858,19.110,20.798,120.937,17695.257,6354.974,5846.185,4214.810,13688.663,16647.957,8.759,124.806,18.472,17.124,7.225,19.906,62.037
13,2,100,fp16,1.000,11.027,136.306,320.195,1020,947,3530.828,5033.892,14.514,236.704,63.599,53.601,23.432,98.834,135.741,12.563,50.683,26.773,26.881,1.820,28.009,31.281,113.957,26619.668,8601.147,7668.404,5762.818,16477.227,25122.777,9.564,190.082,26.747,24.069,11.314,31.489,85.713
13,2,200,fp16,1.000,13.453,126.575,322.080,1020,947,4333.072,6035.943,14.615,265.922,93.984,80.540,34.298,144.187,207.001,12.557,58.675,42.651,43.690,4.604,45.446,49.265,106.640,42808.813,13781.516,11976.645,9560.049,26910.573,40762.258,8.768,269.524,42.630,37.997,18.694,59.686,125.799
13,2,300,fp16,1.000,14.407,123.460,322.182,1020,982,4641.836,6420.590,14.051,351.699,127.791,113.833,45.608,192.563,265.534,12.558,84.453,58.272,60.903,8.361,62.782,68.422,118.832,61061.343,18803.765,16280.456,13639.433,37193.354,56674.934,11.121,361.473,58.148,51.361,26.207,89.711,157.443
