model_size(B),tp,num_clients,mode,success_rate,qps,avg_inlen,avg_outlen,max_inlen,max_outlen,o_tps,io_tps,min_ttft,max_ttft,mean_ttft,median_ttft,std_ttft,p90_ttft,p99_ttft,min_tpot,max_tpot,mean_tpot,median_tpot,std_tpot,p90_tpot,p99_tpot,min_e2e,max_e2e,mean_e2e,median_e2e,std_e2e,p90_e2e,p99_e2e,min_itl,max_itl,mean_itl,median_itl,std_itl,p90_itl,p99_itl
7,1,1,fp16,1.000,0.257,138.205,322.462,1020,947,82.960,118.516,14.093,112.329,23.165,16.035,17.394,38.678,104.993,11.735,13.234,11.976,11.927,0.221,12.119,13.059,74.047,11427.201,3886.758,3428.340,2674.121,7444.088,11093.821,11.650,37.842,12.018,11.952,0.736,12.214,12.808
7,1,5,fp16,1.000,1.088,128.768,337.845,1020,947,367.659,507.791,15.044,466.967,35.157,26.506,42.407,47.455,81.160,12.356,19.802,13.341,13.258,0.553,13.688,14.864,89.134,12596.900,4536.850,4222.275,3135.390,10042.258,12221.014,12.175,478.472,13.364,13.108,3.151,13.591,25.097
7,1,10,fp16,1.000,1.961,132.351,334.266,1020,892,655.340,914.819,24.791,1148.522,45.012,27.798,95.899,52.275,576.863,12.944,18.094,14.984,14.924,0.584,15.738,16.882,95.995,13855.029,5051.913,4674.116,3465.263,11177.711,13571.941,11.680,150.587,15.023,14.429,4.199,15.382,28.372
7,1,20,fp16,1.000,2.982,139.885,353.622,1020,892,1054.470,1471.595,14.968,92.835,35.878,30.460,12.890,51.930,84.794,13.655,22.943,18.313,18.223,0.852,19.427,20.504,114.173,17344.235,6514.571,5965.864,4345.719,13992.452,16622.263,12.121,170.063,18.372,17.298,6.211,18.593,43.317
7,1,30,fp16,1.000,3.784,141.515,351.949,1020,947,1331.938,1867.497,14.665,222.368,39.340,33.379,15.463,55.482,88.090,15.745,28.723,21.833,21.817,1.140,23.156,24.435,121.517,20394.280,7722.667,7009.690,5150.180,16599.960,19672.952,12.228,216.965,21.891,20.214,9.111,21.886,56.031
7,1,40,fp16,1.000,4.512,145.943,341.381,1020,947,1540.315,2198.809,14.960,202.637,42.313,35.922,17.261,59.736,96.264,17.182,52.349,25.192,25.193,1.392,26.419,28.307,146.284,24042.868,8634.993,7810.267,5862.830,18919.698,22656.561,12.137,236.987,25.242,22.967,10.697,26.930,71.164
7,1,50,fp16,1.000,5.035,141.559,339.800,1020,947,1710.913,2423.672,14.755,206.685,43.536,38.038,16.598,59.850,93.533,17.259,37.967,28.184,28.231,1.546,29.509,31.645,152.834,26753.933,9610.633,8820.895,6478.260,20956.928,25404.848,12.421,231.838,28.236,25.484,11.656,38.045,83.923
7,1,100,fp16,1.000,6.530,134.357,323.738,1020,947,2114.145,2991.550,15.586,256.668,54.695,50.716,21.968,77.265,158.118,15.515,74.026,45.010,45.648,3.620,47.044,49.466,156.376,43867.705,14593.550,13011.832,9714.337,27798.204,40856.461,12.262,340.741,45.045,39.205,20.116,58.626,168.192
7,1,200,fp16,1.000,6.665,127.025,324.672,1020,947,2164.018,3010.668,14.681,324.695,78.152,80.472,43.765,109.446,265.845,17.146,129.726,85.116,89.060,11.641,90.607,95.988,264.337,85298.169,27525.716,24288.256,18945.312,53725.731,82268.164,12.253,501.681,84.796,71.297,42.491,116.615,266.927
7,1,300,fp16,1.000,6.605,125.549,321.704,1020,982,2124.941,2954.224,15.455,8038.074,859.318,120.332,1475.756,2923.643,6866.252,17.328,358.356,125.198,133.080,22.980,137.008,152.652,154.870,134436.124,40654.585,35636.582,29172.139,79685.207,122865.436,12.321,4448.032,124.082,103.496,70.476,184.933,362.412
